iter	Passed	Remaining
0	4	485
1	9	458
2	14	454
3	17	428
4	22	427
5	26	416
6	31	415
7	36	414
8	40	414
9	45	405
10	48	389
11	50	372
12	53	358
13	56	345
14	58	333
15	60	317
16	61	302
17	63	288
18	64	275
19	66	264
20	67	253
21	68	243
22	70	234
23	71	226
24	72	218
25	74	211
26	75	204
27	76	197
28	78	191
29	79	185
30	81	180
31	82	174
32	83	169
33	84	164
34	86	160
35	87	155
36	88	151
37	90	147
38	91	143
39	92	139
40	94	135
41	94	130
42	96	127
43	97	123
44	98	120
45	100	117
46	101	114
47	103	112
48	105	109
49	106	106
50	108	104
51	110	101
52	111	99
53	113	96
54	114	93
55	115	90
56	116	88
57	118	85
58	119	83
59	120	80
60	122	78
61	123	75
62	124	73
63	126	71
64	127	68
65	129	66
66	131	64
67	132	62
68	134	60
69	135	58
70	136	55
71	138	53
72	139	51
73	140	49
74	142	47
75	143	45
76	144	43
77	146	41
78	147	39
79	148	37
80	150	35
81	151	33
82	152	31
83	154	29
84	155	27
85	156	25
86	158	23
87	159	21
88	160	19
89	162	18
90	163	16
91	164	14
92	166	12
93	167	10
94	168	8
95	170	7
96	171	5
97	173	3
98	174	1
99	176	0
